"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000023171.16","ENSG00000023171.16","GRAMD1B",-0.628605838761747,2.29862987934166,-5.6270895371214,1.5521132104534e-06,0.00359100792653524,5.13373674421283,-4.80440635696259,"DOWN"
"ENSG00000085741.12","ENSG00000085741.12","WNT11",-0.887476813952705,1.34400319065855,-5.37844055195355,3.32303711737031e-06,0.00515856773916361,4.4268884775414,-4.64977104617276,"DOWN"
"ENSG00000185245.7","ENSG00000185245.7","GP1BA",-0.776948670377958,1.04512109226105,-5.39095780948365,3.34447095304789e-06,0.00515856773916361,4.46389262123442,-4.64844480029248,"DOWN"
"ENSG00000168542.14","ENSG00000168542.14","COL3A1",-0.530457824888007,5.87402723428095,-5.27856131260706,4.44950156725597e-06,0.00549038830055605,4.08150165926951,-4.58919897104004,"DOWN"
"ENSG00000178726.6","ENSG00000178726.6","THBD",-0.528805263440274,2.73898908355709,-5.24819418012206,5.22939261392042e-06,0.00569357811123842,4.00076603042885,-4.55536808083382,"DOWN"
"ENSG00000133321.10","ENSG00000133321.10","RARRES3",-0.888370210313059,0.574081067510658,-5.17506165229722,6.31679612803344e-06,0.00609471342916909,3.76836934762349,-4.51549860916844,"DOWN"
"ENSG00000248514.1","ENSG00000248514.1","CTC-338M12.1",-0.772793971943137,1.22440374003551,-5.0963129711995,8.42836164578501e-06,0.00609471342916909,3.57762159847213,-4.45400377694539,"DOWN"
"ENSG00000183077.15","ENSG00000183077.15","AFMID",-0.54260273988568,1.55810936974428,-5.0719490305873,8.89066197998625e-06,0.00609471342916909,3.49341940953049,-4.44253148218898,"DOWN"
"ENSG00000198590.11","ENSG00000198590.11","C3orf35",-0.544441978794817,0.677080384709309,-5.03317952402433,9.83239368754409e-06,0.00644697820995163,3.36408985749451,-4.42082685436047,"DOWN"
"ENSG00000162711.16","ENSG00000162711.16","NLRP3",-0.928751086522015,-0.511627041865291,-5.05295336237667,1.0101159872959e-05,0.00644697820995163,3.41442339451365,-4.41499655536112,"DOWN"
"ENSG00000204252.13","ENSG00000204252.13","HLA-DOA",-1.03584243148065,0.0795231731125791,-4.96176556281382,1.30902723428515e-05,0.00712611325864231,3.14831604543764,-4.35859061074619,"DOWN"
"ENSG00000101265.15","ENSG00000101265.15","RASSF2",-0.524948470881752,2.06138714062299,-4.77246168258075,2.27274188291512e-05,0.00818714378865704,2.6076767828436,-4.23625941607901,"DOWN"
"ENSG00000170166.5","ENSG00000170166.5","HOXD4",-1.10465438142665,-0.610667136644641,-4.71976941306932,2.843566589038e-05,0.00851861326735144,2.4463256602002,-4.18564565145348,"DOWN"
"ENSG00000100342.20","ENSG00000100342.20","APOL1",-0.555599447688573,2.13269425618526,-4.64613025535925,3.3775007780591e-05,0.00906002346392693,2.24231102486249,-4.14639559730664,"DOWN"
