"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000268518.1","ENSG00000268518.1","CTD-2545M3.8",-0.498817384241259,4.94628708716312,-6.92407906877441,1.96943139797182e-08,0.000263452441752738,8.95782000147365,-5.61466524764791,"p-value"
"ENSG00000255112.2","ENSG00000255112.2","CHMP1B",0.359605286686192,4.80752178699467,6.69565348393379,4.27012440033613e-08,0.000263452441752738,8.25206043375423,5.47929974200885,"p-value"
"ENSG00000273540.3","ENSG00000273540.3","AGBL1",-0.305531957840277,5.21008303993498,-6.18315326469392,2.3652913819147e-07,0.000875583563757183,6.748521946933,-5.16806572454236,"p-value"
"ENSG00000170310.14","ENSG00000170310.14","STX8",0.479808032259071,2.58293278504967,5.7737377242805,8.81909466381702e-07,0.00272054371887649,5.60739669587067,4.9163094709446,"p-value"
"ENSG00000096063.15","ENSG00000096063.15","SRPK1",0.359839672095104,3.72175507374065,5.62644193604007,1.42470324091217e-06,0.00359100792653524,5.13786659500454,4.82151735336886,"p-value"
"ENSG00000187720.14","ENSG00000187720.14","THSD4",-0.460598749309344,2.99655708352122,-5.29413778882441,4.18144607937836e-06,0.00549038830055605,4.18258786283849,-4.60215361599343,"p-value"
"ENSG00000180229.12","ENSG00000180229.12","HERC2P3",0.344057074668839,4.08912815356937,5.11786309675876,7.36760723799098e-06,0.00609471342916909,3.62388619466393,4.48278232557749,"p-value"
"ENSG00000123268.8","ENSG00000123268.8","ATF1",0.469026556183063,3.63528756664805,5.08202339620877,8.53133983346199e-06,0.00609471342916909,3.58204577664636,4.45139713356489,"p-value"
"ENSG00000140598.13","ENSG00000140598.13","EFL1",0.35598523063123,3.34610760944626,5.06305371215596,8.85792340682499e-06,0.00609471342916909,3.46562492517232,4.44332493582407,"p-value"
"ENSG00000092036.18","ENSG00000092036.18","HAUS4",0.39346107052605,2.11632734438451,4.99858430830639,1.12576370905357e-05,0.00681097809041619,3.26798251277702,4.39149027674381,"p-value"
"ENSG00000227877.6","ENSG00000227877.6","MRLN",0.395854855927247,2.70795350799258,4.99325012225418,1.14074407479011e-05,0.00681097809041619,3.24745528268838,4.38861576522578,"p-value"
"ENSG00000118096.7","ENSG00000118096.7","IFT46",0.339142711952789,2.68171125696883,4.94676201330329,1.30143413147498e-05,0.00712611325864231,3.11578463208667,4.35986381394187,"p-value"
"ENSG00000178074.5","ENSG00000178074.5","C2orf69",0.447478435336943,3.31608415294538,4.90994912435992,1.39926073964171e-05,0.00739969058000811,3.05043902352862,4.34397715332615,"p-value"
"ENSG00000178033.5","ENSG00000178033.5","FAM26E",0.362739638837703,2.20773651501683,4.91215453456293,1.45005600244235e-05,0.00745530181922374,3.01620591672271,4.33614152635348,"p-value"
"ENSG00000138029.13","ENSG00000138029.13","HADHB",0.269941899580394,7.50016233590785,4.88547288329174,1.56305597125081e-05,0.00774293995056148,2.93951434230647,4.31960941595918,"p-value"
"ENSG00000276644.4","ENSG00000276644.4","DACH1",0.337463501124339,2.03828279975972,4.87473954332716,1.61242725951189e-05,0.00774293995056148,2.94960267732927,4.31274133168684,"p-value"
"ENSG00000197345.12","ENSG00000197345.12","MRPL21",0.363907746865324,2.82253157125417,4.87305619919116,1.63150174548543e-05,0.00774293995056148,2.90938010084916,4.31014142399731,"p-value"
"ENSG00000085274.15","ENSG00000085274.15","MYNN",0.449838661029368,3.48859379185133,4.83155870775563,1.80346471951607e-05,0.00817483537962906,2.90434088290872,4.28792930029622,"p-value"
"ENSG00000167315.17","ENSG00000167315.17","ACAA2",0.241984870045037,5.12632231443453,4.83709965002863,1.84903620941284e-05,0.00817483537962906,2.79523843342804,4.28238148455785,"p-value"
"ENSG00000130818.11","ENSG00000130818.11","ZNF426",0.387780009524914,3.25932157051416,4.80738310306695,1.99691224986871e-05,0.00818211648535278,2.7211341454232,4.26523576003015,"p-value"
"ENSG00000116285.12","ENSG00000116285.12","ERRFI1",0.301103228119789,3.04960235088629,4.79380982733705,2.13733478157926e-05,0.00818714378865704,2.6674522309995,4.25003881124667,"p-value"
"ENSG00000146425.10","ENSG00000146425.10","DYNLT1",0.376122876588191,3.33084176579693,4.7896345340133,2.16378419398239e-05,0.00818714378865704,2.69653310780893,4.24728315803049,"p-value"
