"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000267165.1","ENSG00000267165.1","CHMP1B-AS1",0.509181542408918,2.93456553123673,6.70840164086251,3.95398164273135e-08,0.000263452441752738,8.3177506726771,5.49289488055204,"UP"
"ENSG00000004799.7","ENSG00000004799.7","PDK4",1.0857437162682,8.62768865578799,6.45614115326604,8.70024117919594e-08,0.000402581909964344,7.56503167013955,5.35196877999249,"UP"
"ENSG00000138036.18","ENSG00000138036.18","DYNC2LI1",0.545564555066982,2.1205150647577,5.47388038023788,2.47330686547517e-06,0.00508649297478666,4.67211742254923,4.71031791169223,"UP"
"ENSG00000225507.1","ENSG00000225507.1","AC069282.6",1.06018552969541,-0.376536357000523,5.46273181532556,3.13189719097154e-06,0.00515856773916361,4.62013592993192,4.66197468684427,"UP"
"ENSG00000257647.1","ENSG00000257647.1","RP11-701H24.3",0.540680961242371,1.41520302945225,5.29755072776193,4.1584851453094e-06,0.00549038830055605,4.1463794133342,4.60330000957528,"UP"
"ENSG00000101773.18","ENSG00000101773.18","RBBP8",0.917997671101175,0.46133288026266,5.24179295720107,5.01276364604201e-06,0.00569357811123842,3.98563947562138,4.56425284112852,"UP"
"ENSG00000250978.5","ENSG00000250978.5","RP11-357D18.1",0.540776400638179,3.39831883101941,5.13255969978468,7.26740420307695e-06,0.00609471342916909,3.64911378132434,4.48570262975342,"UP"
"ENSG00000232486.1","ENSG00000232486.1","RP11-18B3.2",0.617303750653041,2.63705195027629,5.11123258517346,7.75076520969982e-06,0.00609471342916909,3.60955077493404,4.47195524192816,"UP"
"ENSG00000072133.10","ENSG00000072133.10","RPS6KA6",0.963291301943104,-0.140058442497563,5.11841422560009,7.85719116164396e-06,0.00609471342916909,3.61837091040292,4.46903871024995,"UP"
"ENSG00000253506.2","ENSG00000253506.2","NACA2",0.903793346950629,0.137936096425065,5.09264393622623,8.6309367877334e-06,0.00609471342916909,3.55360178235508,4.44890452764136,"UP"
